d_name,model_name,split_idx,n_splits,random_state,fit_time,test_size,test_auc,test_aupr,test_mse,test_acc,test_logloss,train_auc,train_aupr,train_mse,train_acc,train_logloss,model_path
ss_mimiciii_b1_r1377_xgb-d1-o20-cols1,xgb-d1-o20-cols1,4,5,1377,91.47474145889282,0.15,0.785337034811853,0.35323499552628673,0.07389312953356716,0.909334633195223,0.26162552871867467,0.8393798427106658,0.45580957172760017,0.06722422408154013,0.9153796515379652,0.23668457831708278,models/1108_ss/ss_mimiciii_b1_r1377_xgb-d1-o20-cols1_xgb-d1-o20-cols1_r1377_4_5.pkl
ss_adult_b1_r1377_xgb-d1-o20-cols1,ilr-q,3,5,1377,15.193135261535645,0.15,0.9187900750915904,0.811908406892563,0.09303253320757421,0.8650972364380758,0.2911169016419283,0.9255233961864056,0.8250516344148549,0.08870906642799847,0.873175314351785,0.28133784018079944,models/1108_ss/ss_adult_b1_r1377_xgb-d1-o20-cols1_ilr-q_r1377_3_5.pkl
ss_adult_b1_r1377_xgb-d1-o20-cols1,mlr-q,3,5,1377,1.6773579120635986,0.15,0.9120848421377323,0.7979516184759111,0.09636812907924001,0.8622313203684749,0.30271475626942235,0.9146172116319742,0.8035662556229742,0.09459138363300999,0.8641422170833936,0.29929357724002187,models/1108_ss/ss_adult_b1_r1377_xgb-d1-o20-cols1_mlr-q_r1377_3_5.pkl
ss_adult_b1_r1377_xgb-d1-o20-cols1,lr,3,5,1377,2.6120407581329346,0.15,0.9055278344974331,0.7724905927650969,0.10149929093048198,0.8468781985670419,0.317822137499096,0.9040232821603094,0.7708565749715885,0.10151338764704038,0.8532302355831768,0.3193661298873032,models/1108_ss/ss_adult_b1_r1377_xgb-d1-o20-cols1_lr_r1377_3_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,ebm-o50-i50-q,1,5,1377,151.98103976249695,0.15,0.8276824452108132,0.4806180310381587,0.08229636460169888,0.8914876257818874,0.282007245935221,0.8310917102530003,0.4972334786365439,0.081290252828632,0.894580192981614,0.2785342069540512,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_ebm-o50-i50-q_r1377_1_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,ebm-bf-o50-q,1,5,1377,39.06187319755554,0.15,0.8285466959617309,0.49049036506716726,0.08195457723184352,0.8925754691324449,0.2813909089401291,0.8279271276681881,0.4904014665375881,0.08204682504328797,0.8939561230857856,0.28110019565103866,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_ebm-bf-o50_r1377_1_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,ilr-q,1,5,1377,8.55944013595581,0.15,0.7979954666814995,0.4172821621903542,0.08787168148452727,0.8879521348925755,0.3001710179269389,0.8385892394298433,0.51100452270747,0.08111233425085121,0.8928039940473333,0.27767989366550605,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_ilr-q_r1377_1_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,mlr-q,1,5,1377,2.008864402770996,0.15,0.8026268216709311,0.4092143229795905,0.08816348751120177,0.886864291542018,0.30155334491014807,0.8457704413258629,0.5346883711623353,0.07779655976864096,0.9000528059142624,0.26733119868422245,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_mlr-q_r1377_1_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,lr,1,5,1377,0.42496633529663086,0.15,0.7937068917565913,0.4048308868806026,0.08827151548193635,0.8860484090290998,0.3028405936391162,0.7831979435685035,0.40226739841192005,0.08899996087886104,0.8865152897124478,0.30567683382319166,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_lr_r1377_1_5.pkl
ss_mimicii_b1_r1377_xgb-d1-o20-cols1,xgb-d1-o20-cols1,2,5,1377,36.68120765686035,0.15,0.8145831015685837,0.4643201406570028,0.08411398162579498,0.8928474299700843,0.28775609455088746,0.8346705827470947,0.4992908207452929,0.08101066541292641,0.8938121069559791,0.2770168061740542,models/1108_ss/ss_mimicii_b1_r1377_xgb-d1-o20-cols1_xgb-d1-o20-cols1_r1377_2_5.pkl
