d_name,model_name,split_idx,n_splits,random_state,fit_time,test_size,bias,variance,error_test_mse,avg_test_auc,avg_test_aupr,avg_test_acc,avg_test_logloss,n_subsamples,subsample_ratio
bikeshare,ebm-bf-o50,0,5,1377,12.933855533599855,0.15,9896.82167459142,53.260900044820424,9950.08257463624,0.0,0.0,0.0,0.0,8,0.5
bikeshare,ebm-o50-i50,0,5,1377,52.11323690414429,0.15,9917.400365727197,80.18572542417634,9997.586091151374,0.0,0.0,0.0,0.0,8,0.5
bikeshare,flam,0,5,1377,41.49370670318604,0.15,9915.950654164797,111.9918405650987,10027.942494729898,0.0,0.0,0.0,0.0,8,0.5
bikeshare,ilr,0,5,1377,7.977307319641112,0.15,9977.58998852557,118.45574693494892,10096.045735460517,0.0,0.0,0.0,0.0,8,0.5
bikeshare,lr,0,5,1377,1.572824001312256,0.15,20457.08831904649,11.569686165263024,20468.65800521176,0.0,0.0,0.0,0.0,8,0.5
bikeshare,mlr,0,5,1377,3.5295250415802,0.15,10379.634622657995,44.62131917480525,10424.2559418328,0.0,0.0,0.0,0.0,8,0.5
bikeshare,rf-n1000,0,5,1377,380.0477657318115,0.15,1979.6384406746624,262.94624299819594,2242.584683672859,0.0,0.0,0.0,0.0,8,0.5
bikeshare,spline-v2,0,5,1377,288.0715675354004,0.15,9878.657977705423,62.070794611093966,9940.728772316515,0.0,0.0,0.0,0.0,8,0.5
bikeshare,xgb-d1-o20-cv,0,5,1377,116.53720164299013,0.15,9869.535734968806,87.577484,9957.11312804641,0.0,0.0,0.0,0.0,8,0.5
bikeshare,xgb-d3,0,5,1377,7.955529928207397,0.15,2442.161071501202,990.40814,3432.569324473053,0.0,0.0,0.0,0.0,8,0.5
bikeshare,xgb-d3-o20,0,5,1377,259.2284848690033,0.15,2235.352915541677,232.70958,2468.0624660597773,0.0,0.0,0.0,0.0,8,0.5
bikeshare,ebm-bf-o50,1,5,1377,17.369202613830563,0.15,9774.482742597824,69.23864674017803,9843.721389338001,0.0,0.0,0.0,0.0,8,0.5
bikeshare,ebm-o50-i50,1,5,1377,45.86022138595581,0.15,9719.580276425284,90.77923104632308,9810.359507471607,0.0,0.0,0.0,0.0,8,0.5
bikeshare,flam,1,5,1377,95.7474329471588,0.15,9754.837239468736,125.36494701099664,9880.202186479732,0.0,0.0,0.0,0.0,8,0.5
bikeshare,ilr,1,5,1377,7.440585136413574,0.15,9734.29049956657,121.89768935463486,9856.188188921204,0.0,0.0,0.0,0.0,8,0.5
bikeshare,lr,1,5,1377,1.6215066909790041,0.15,19923.158758716123,12.077708266135875,19935.236466982256,0.0,0.0,0.0,0.0,8,0.5
bikeshare,mlr,1,5,1377,3.0360486507415767,0.15,10467.687345702043,54.56634319698,10522.253688899029,0.0,0.0,0.0,0.0,8,0.5
bikeshare,rf-n1000,1,5,1377,328.0070624351501,0.15,1884.2266175530754,240.45451833715674,2124.6811358902323,0.0,0.0,0.0,0.0,8,0.5
bikeshare,spline-v2,1,5,1377,283.7076802253723,0.15,9685.743251033857,69.62524113543367,9755.368492169291,0.0,0.0,0.0,0.0,8,0.5
bikeshare,xgb-d1-o20-cv,1,5,1377,118.8086714744568,0.15,9722.347765454582,95.114784,9817.462576700385,0.0,0.0,0.0,0.0,8,0.5
bikeshare,xgb-d3,1,5,1377,9.793679952621462,0.15,2214.435622110598,982.0922,3196.527893642363,0.0,0.0,0.0,0.0,8,0.5
bikeshare,xgb-d3-o20,1,5,1377,247.3550448417664,0.15,2052.9551412457213,237.01688,2289.972024070919,0.0,0.0,0.0,0.0,8,0.5
